,Dataset,Algorithm,ARI,NMI,NCA,Silhouette,Silhouette_W,Calinski_Harabasz,G_Dunn,Neg_Davies_Bouldin,Neg_WCSS,Battery,median_internal,median_reference
221,ionosphere,Genie_g0.7,0.018230081797490392,0.03298034740842639,0.03174603174603163,0.2870918101696951,0.2570745831388153,6.814306937490747,1.2780793119750777,-1.3517151537636456,-9368.875328945445,uci,0.2720831966542552,0.03174603174603163
222,ionosphere,Genie_g0.9,0.0044727568446733534,0.008703830261403558,0.007936507936507908,0.4054039578542949,0.40656225487673586,3.9647602607638897,2.6615665035672946,-inf,-9444.511909601704,uci,0.4059831063655154,0.007936507936507908
223,ionosphere,Agg_single,0.0044727568446733534,0.008703830261403558,0.007936507936507908,0.4054039578542949,0.40656225487673586,3.9647602607638897,2.6615665035672946,-inf,-9444.511909601704,uci,0.4059831063655154,0.007936507936507908
224,ionosphere,Agg_average,0.0044727568446733534,0.008703830261403558,0.007936507936507908,0.4054039578542949,0.40656225487673586,3.9647602607638897,2.6615665035672946,-inf,-9444.511909601704,uci,0.4059831063655154,0.007936507936507908
225,ionosphere,Agg_complete,0.009002079902937863,0.017055910155762032,0.015873015873015817,0.39265388831594905,0.18242762106706475,4.957151038682642,1.2604955262217665,-1.2846934458609802,-9418.032301848232,uci,0.2875407546915069,0.015873015873015817
226,ionosphere,Agg_ward,0.18717419199615046,0.13862599511789814,0.44126984126984126,0.29705828838240483,0.2744331054969594,115.99715364953072,0.27919081047254485,-1.5439542932404198,-7169.03287641417,uci,0.2768119579847521,0.18717419199615046
227,ionosphere,SC,0.0044727568446733534,0.008703830261403558,0.007936507936507908,0.36508877786213734,0.3661318886560292,3.2648142079034566,2.6140745848206146,-inf,-9463.278043957705,uci,0.36561033325908326,0.007936507936507908
228,sonar,K-means,0.0026994335477324044,0.007062382995506087,0.09733444784991185,0.1990299657259357,0.2049635697124854,59.288148644744744,0.2389168113828142,-1.7746910925425285,-3513.2421582785587,uci,0.20199676771921055,0.007062382995506087
229,sonar,GMM,0.0026994335477324044,0.007062382995506087,0.09733444784991185,0.1990299657259357,0.2049635697124854,59.288148644744744,0.2389168113828142,-1.7746910925425285,-3513.2421582785587,uci,0.20199676771921055,0.007062382995506087
230,sonar,Genie_g0.1,-0.004428802401093355,9.996837306549108e-06,0.0034364261168384758,0.14886677318879823,0.13830706931885928,35.62300090497169,0.8640278989707472,-2.242985409226416,-3857.3376889600827,uci,0.14358692125382877,9.996837306549108e-06
